,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
3258,CA,Sunnyvale city,43,2,0.5,40.9,18.9
3259,CA,Sunol CDP,85.4,0.1,0.7,5.3,10
3260,CA,Sunset Beach CDP,88.9,0.4,0.6,4.3,8.1
3261,CA,Sun Village CDP,58.8,7,1.4,1.1,63.2
3262,CA,Susanville city,62.8,12.5,3.4,1.1,23.7
3263,CA,Sutter CDP,86.2,0.6,1.9,1,14.1
3264,CA,Sutter Creek city,90.8,0.4,1.4,2.6,8.8
3265,CA,Swall Meadows CDP,91.4,0,1.4,2.3,2.7
3266,CA,Taft city,79.2,4.2,1.3,1,35.9
3267,CA,Taft Heights CDP,82.2,0.8,1.8,0.6,22.6
3268,CA,Taft Mosswood CDP,29,12.5,0.7,12,71.8
3269,CA,Tahoe Vista CDP,89.3,0.2,0.6,1.5,24.6
3270,CA,Tahoma CDP,94.8,0.5,0.8,1.2,4.3
3271,CA,Talmage CDP,44.5,0.3,2.4,24.2,32.4
3272,CA,Tamalpais-Homestead Valley CDP,88,0.8,0.2,5.5,4.6
3273,CA,Tara Hills CDP,43.2,13.3,0.6,17,38
3274,CA,Tarpey Village CDP,73.8,2,1.5,6.7,31.4
3275,CA,Taylorsville CDP,93.6,0,2.1,0,0.7
3276,CA,Tecopa CDP,79.3,0.7,5.3,1.3,5.3
3277,CA,Tehachapi city,65.4,9,1.4,1.7,37.9
3278,CA,Tehama city,82.8,1.4,5.5,0.2,13.6
3279,CA,Temecula city,70.8,4.1,1.1,9.8,24.7
3280,CA,Temelec CDP,95.5,0.3,0.3,2.2,4.7
3281,CA,Temescal Valley CDP,65.6,6.7,0.6,9.6,30
3282,CA,Temple City city,33.6,0.8,0.4,55.7,19.3
3283,CA,Templeton CDP,89,0.8,1,1.6,15.3
3284,CA,Tennant CDP,87.8,0,4.9,0,9.8
3285,CA,Terminous CDP,88.7,0.5,1.6,1.8,10.5
3286,CA,Terra Bella CDP,43.1,0.2,0.6,2.3,87.4
3287,CA,Teviston CDP,37,4.1,0.7,0.8,85.6
3288,CA,Thermal CDP,36.1,1,1,1.1,95.3
3289,CA,Thermalito CDP,69.1,0.9,3.9,16.6,10.7
3290,CA,Thornton CDP,49,3.8,0.3,4,68.1
3291,CA,Thousand Oaks city,80.3,1.3,0.4,8.7,16.8
3292,CA,Thousand Palms CDP,74.7,1.4,1,1.7,52.5
3293,CA,Three Rivers CDP,90.6,0.3,1.2,1.4,9.7
3294,CA,Three Rocks CDP,52.4,0,0.4,0,95.5
3295,CA,Tiburon town,88.1,0.9,0.2,5.6,4.6
3296,CA,Timber Cove CDP,92.7,0.6,0.6,3.7,5.5
3297,CA,Tipton CDP,60.4,0.1,0.6,0.4,84.4
3298,CA,Tobin CDP,100,0,0,0,0
3299,CA,Tomales CDP,94.6,0,1.5,2,4.4
3300,CA,Tonyville CDP,56.3,0,0,3.8,90.5
3301,CA,Tooleville CDP,42.8,1.5,5.6,2.4,82.3
3302,CA,Topanga CDP,88.2,1.4,0.4,4.3,6.4
3303,CA,Topaz CDP,88,0,2,0,48
3304,CA,Toro Canyon CDP,92,0.5,0.5,0.9,19.4
3305,CA,Torrance city,51.1,2.7,0.4,34.5,16.1
